Port,ID,Lat,Long
Hawaii,A,21.298,-157.87
Alaska,B,61.22,-149.91
North Pacific,C,46.33,-124.13
Central Pacific,D,37.798,-122.53
South Pacific,E,33.67,-118.33
East Gulf of Mexico,F,28.75,-95.58
West Gulf of Mexico,G,30.22,-88.21
Central Florida,H,25.42,-80.18
South Atlantic,I,32.24,-80.57
North Atlantic,J,39.4,-74.35
Shanghai,1,31.2166667,121.5
Yantian,2,22.5833333,114.2666667
Ningbo,3,29.8833333,121.55
Qingdao Gang,4,36.0333333,120.2666667
Ho Chi Minh,5,10.7666667,106.7166667
Pusan,6,35.1,129.0333333
Xiamen,7,24.45,118.0666667
Kao-Hsiung,8,22.6166667,120.25
Bremerhaven,9,53.5333333,8.5833333
Laem Chabang,10,13.0833333,100.8833333
Hong Kong,11,22.2666667,114.2
Jawaharlal Nehru,12,18.95,72.9333333
Antwerpen,13,51.2166667,4.4
Chiwan,14,19.96666667,11.03333333
Tianjin,15,39,117.7
Rotterdam,16,51.9,4.4833333
Hamburg,17,53.55,9.9333333
Tanjung Pelepas,18,1.35,103.55
Tokyo,19,35.6666667,139.75
La Spezia,20,44.1,9.8333333
Le Havre,21,49.4833333,0.1166667
Puerto Cortes,22,15.8333333,-87.95
Mundra,23,22.73333333,69.7
Nagoya Ko,24,35.0666667,136.8666667
Jakarta,25,-6.1,106.8833333
Santos,26,-23.95,-46.3
Guayaquil,27,-2.2,-79.9
Genova,28,44.4,8.9333333
Kobe,29,34.65,135.1833333
Surabaja,30,-7.2076375,112.7219
Santo Tomas,31,15.7,-88.6166667
Puerto Barrios,32,15.7333333,-88.6
Singapore,33,1.2833333,103.85
Puerto Moin,34,10,-83.0833333
Qasim,35,24.7666667,67.3333333
Chittagong,36,22.3166667,91.8166667
Manila,37,14.5833333,120.9666667
Southampton,38,50.9,-1.4
Haifa,39,32.8166667,35
Algeciras,40,36.1333333,-5.4333333
Valencia,41,39.45,-0.3166667
Valparaiso,42,-33.0333333,-71.6166667
Cartagena,43,10.4166667,-75.5333333
Livorno,44,43.55,10.3166667
Dalian,45,38.9333333,121.6333333
Yokohama Ko,46,35.4666667,139.6833333
Puerto San Antonio,47,-33.5833333,-71.6166667
Puerto Del Callao,48,-12.05,-77.15
Guangzhou,49,23.1166667,113.2333333
Da Chan Bay,50,22.538085,113.8702
Melbourne,51,-37.8333333,144.9666667
Gdynia,52,54.5333333,18.55
Puerto Limon,53,9.9833333,-83.0166667
Liverpool,54,53.4166667,-3
Semarang,55,-6.95,110.4166667
Felixstowe,56,51.95,1.3166667
St Petersburg,57,59.880556,30.199167
Buenos Aires,58,-34.6,-58.3666667
Sines,59,37.95,-8.8666667
All Ports in Cambodia,60,10.6455,103.497
Mina Jabal Ali,61,25,55.05
Puerto Castilla,62,16,-85.9833333
Tauranga,63,-37.6333333,176.1666667
Acajutla,64,13.5833333,-89.8333333
Goteborg,65,57.7,11.9666667
Colombo,66,6.95,79.85
Kelang,67,3,101.4
Gwangyang Hang,68,34.85,127.8
Shilong,69,23.04404167,112.4586111
Fuzhou,70,26.0833333,119.3
Taipei,71,25.161561,121.352142
Gioia Tauro,72,38.4166667,15.9
Marseille,73,43.4166667,4.8833333
Manzanillo (Mex),74,20.35,-77.1166667
Shimizu,75,32.7666667,132.95
Mumbai,76,18.8333333,72.8333333
Constantinopole,77,41.016667,28.975
Cagliari,78,39.2166667,9.1166667
Vitoria,79,-20.3166667,-40.3333333
Palembang,80,-2.9833333,104.7666667
Vienna,81,48.2,16.366667
Sydney,82,46.15,-60.2
Durban,83,-29.8666667,31.0666667
Navegantes,84,-26.898889,-48.653889
Corinto,85,12.4833333,-87.1833333
Bahia San Vicente,86,-36.7333333,-73.1666667
Bratislava,87,48.130556,17.145
Cebu,88,10.3,123.9
Haina,89,18.4166667,-70.0166667
Caucedo,90,18.424444,-69.629167
Rio de Janeiro,91,-22.9,-43.1666667
Lazaro Cardenas,92,17.9333333,-102.1666667
Gemlik,93,40.4166667,29.1166667
Santo Domingo,94,18.4666667,-69.8833333
Puerto Quetzal,95,13.9166667,-90.8
Piraievs,96,37.9333333,23.65
Aliaga,97,38.83333333,26.93333333
Izmir,98,38.4333333,27.1333333
Damietta,99,31.4833333,31.75
Puerto Caldera,100,-27.05,-70.8333333
Rio Grande,101,-32.05,-52.0833333
St John,102,45.2666667,-66.05
Aarhus,103,56.93,10.1344
Mersin,104,36.8,34.6333333
Lianyungang,105,34.7333333,119.45
Belawan,106,3.7833333,98.6833333
Progreso,107,21.2833333,-89.6666667
Port De Salvador,108,-12.9666667,-38.5166667
Mina Raysut,109,16.9333333,54.0166667
Altamira,110,22.4833333,-97.85
South Riding Point,111,26.6166667,-78.2166667
Napoli,112,40.85,14.2666667
Barcelona,113,41.35,2.1666667
Sepetiba Bay,114,-23,-44.0166667
constanta,115,44.1,28.38
Auckland,116,-36.85,174.7666667
Pipavav Bandar,117,20.9,71.5166667
Veracruz,118,19.2,-96.1333333
All Other Chile Ports,119,-33.593333,-71.621667
Port Adelaide,120,-34.85,138.5
Rauma,121,61.1333333,21.5
All Other Norway Ports,122,69.72712,30.0558
Halifax,123,44.65,-63.5833333
Port Said,124,31.2666667,32.3
Montevideo,125,-34.9,-56.2166667
Hakata,126,33.6,130.4
Paita,127,-5.0833333,-81.1166667
Klaipeda,128,55.7166667,21.1166667
Puerto Plata,129,19.8,-70.7
Dublin,130,53.35,-6.25
Budapest,131,47.502435,19.041565
Port Au Prince,132,18.55,-72.35
Hai Phong,133,20.8666667,106.6833333
Koper,134,45.55,13.7333333
Jeddah,135,21.4666667,39.1666667
Al Aqabah,136,29.5166667,35
Sendai,137,38.2166667,141.1
Coquimbo,138,-29.95,-71.3333333
Cape Town,139,-33.9,18.4333333
Kingston,140,17.96845,-76.785055
Riga,141,56.95,24.1
Ringaskiddy,142,51.85,-8.3
Itajai,143,-26.9166667,-48.6333333
All Other Brazil Ports South of Recife,144,-10.9167,-37.05
Tuticorin,145,8.8,78.1666667
Santa Marta,146,11.25,-74.2166667
All Other Nicaragua Caribbean Region Ports,147,12.166667,-83.033333
Davao,148,7.0666667,125.6166667
Kleinhuningen,149,47.58255,7.59354
All Other India West Coast Ports,150,22.833333,69.355556
Mombasa,151,-4.0475,39.635
Ashdod,152,31.8166667,34.65
Tema,153,5.6166667,0.0166667
Tanger,154,35.7833333,-5.8166667
Yantai,155,37.55,121.45
Manzanillo (Pan),156,20.35,-77.1166667
Varna,157,43.192222,27.907222
Abidjan,158,5.25,-4.0166667
Puerto Cabello,159,10.4833333,-68
Pasir Gudang,160,1.502778,103.935556
San Pedro,161,-33.5833333,-59.8166667
Izmit,162,40.7666667,29.9166667
Fredericia,163,55.5666667,9.7666667
Pecem,164,-3.546667,-38.831389
Colon,165,-32.2166667,-58.1333333
Chennai,166,13.1,80.3
All Other Turkey Mediterranean Ports,167,36.5817,36.165
Asuncion,168,#N/A,#N/A
Balboa,169,8.95,-79.5666667
Osaka,170,34.65,135.4333333
Barranquilla,171,10.9666667,-74.7666667
All Other Fiji Islands Ports,172,-17.684014,178.840127
Eemshaven,173,53.45,6.833333333
Douala,174,4.05,9.7
Tallinn,175,59.45,24.7666667
All Other Vietnam Ports,176,20.983333,106.766667
Reykjavik,177,64.15,-21.9333333
Khawr Fakkan,178,25.35,56.3833333
Vancouver,179,45.6333333,-122.6833333
Marsaxlokk,180,35.8166667,14.55
Rades,181,36.766667,10.283333
Dammam,182,26.5,50.2
Karachi,183,24.7833333,66.9833333
Bangkok,184,13.75,100.5
Alexandria,185,31.20458,29.880066
Taichung,186,24.294528,120.490917
Pulau Pinang,187,5.4166667,100.35
Nanjing,188,32.0833333,118.75
Jiangyin,189,31.9166667,120.2333333
Beirut,190,33.90295,35.517789
Buenaventura,191,3.8833333,-77.0666667
Cristobal,192,9.35,-79.9166667
Paranagua,193,-25.5,-48.5166667
Djibouti,194,11.6053,43.1392
Casablanca,195,33.6,-7.6166667
Qinhuangdao,196,39.933333,119.6
Doha,197,25.1712,51.32
Thilawa,198,16.661389,96.2575
Dar es Salaam,199,-6.8,39.283333
Dakar,200,14.692778,-17.446667
Point Lisas,201,10.3833333,-61.4833333
Tarragona,202,41.1,1.2333333
Napier,203,-39.4833333,176.9166667
Port Chalmers,204,-45.8178,170.6188
All Other Guatemala West Coast Region Ports,205,14.293,-91.914
Belize City,206,17.5,-88.1833333
Cayman Brac,207,19.75,-72.7666667
Port Louis,208,16.4166667,-61.5333333
Salerno,209,40.6666667,14.75
Civitavecchia,210,42.1,11.7833333
Teluk Bayur,211,-1,100.3666667
Naha Ko,212,26.2166667,127.6833333
Rada De Arica,213,-18.4666667,-70.3333333
Port Lyttelton,214,-43.6,172.7166667
All Other China (Taiwan) Ports,215,22.613333,120.279167
Turbo,216,8.0666667,-76.7333333
Porto De Suape,217,-8.4,-34.9666667
Savu Harbor,218,-10.183333,123.583333
Da Nang,219,16.0666667,108.2166667
Guantanamo,220,19.9,-75.1833333
Ilheus,221,-14.7833333,-39.0166667
All Other Sweden Ports,222,59.32222222,13.44361111
Puerto Caldera (Chile),223,#N/A,#N/A
Cochin,224,9.9666667,76.2333333
Beira,225,-19.83,34.83
Sao Francisco,226,-26.25,-48.6333333
All Other Mexico West Coast Region Ports,227,15.861944,-97.067222
Monrovia,228,6.34,-10.795
Novorossiysk,229,44.7166667,37.7833333
Zhanjiang,230,21.2,110.4
Lagos,231,37.1,-8.616666667
Antofagasta,232,-23.65,-70.4166667
All Other Malaysia Ports,233,1.583055556,110.4330556
Kheyrabad,234,36.967222,67.056111
Providenciales,235,21.73722,-72.276865
Port Elizabeth,236,-33.9666667,25.6166667
Dunkerque,237,51.0383,2.3775
All Other Domicican Republic Ports,238,19.866667,-71.65
Toamasina,239,-18.15,49.416667
All Other Thailand Ports,240,12.663056,100.905556
Zhuhai,241,22.233333,113.583333
Hankow,242,30.5833333,114.2833333
All Other Japan Ports,243,44.016667,144.266667
Port of Spain,244,10.65,-61.5166667
Paramaribo,245,5.8166667,-55.15
Quanzhou,246,24.88333333,118.6
Huangpu,247,23.08333333,113.4166667
Bridgetown,248,13.1,-59.6333333
Puerto De Bilbao,249,43.35,-3.05
Calcutta,250,22.55,88.3166667
Prince Rupert,251,54.3166667,-130.3333333
Puerto De Morales,252,20.853611,-86.898611
Venezia,253,45.4166667,12.4333333
El-Adabiya,254,29.8666667,32.4666667
All Other Pakistan Ports,255,25.1106,62.3396
Yangshan,256,30.616667,122.066667
Mogi,257,32.707035,129.9153
Georgetown,258,46.1833333,-62.5333333
Philipsborough,259,18.0237,-63.0458
Nantong,260,32,120.8
All Other United Arab Emirates Ports,261,25.47,55.487
All Other Panama West Coast Region Ports,262,9.08,-79.68
Port sudan,263,19.616667,37.216667
Richards Bay,264,-28.8166667,32.0833333
Grand Turks,265,21.47222,-71.13889
Thessaloniki,266,40.6333333,22.9333333
Port Moresby,267,-9.478,147.1507
Vishakhapatnam,268,17.6833333,83.3
Leixoes,269,41.1833333,-8.7
Noumea,270,-22.939,166.4505
Subic Bay,271,14.8,120.2666667
Oranjestand,272,12.519,-70.037
All Other Brazil Ports North Of Recife,273,-2.860749,-41.657715
All Other Mexico East Coast Region Ports,274,20.479722,-97.01
Palermo,275,38.1333333,13.3666667
Durres,276,41.309722,19.457222
Samarinda,277,-0.5166667,117.1166667
Luanda,278,-8.8,13.25
Elizabeth,279,-33.958056,25.6
St John's,280,17.116667,-61.85
Bullen Baai,281,12.1833333,-69.0333333
Bremen,282,53.1333333,8.7666667
Helsingborg,283,56.05,12.7
Vila do Conde,284,-1.55,-48.75
Ancona,285,43.6166667,13.5
Charlotte Amalie,286,18.35,-64.9333333
Limassol,287,34.65,33.016667
Zhongshan,288,22.514444,113.188611
Malabo,289,3.75,8.7833333
Tamsui,290,25.011111,121.445833
All Other Bermuda Ports,291,32.32416667,-64.835
Nassau,292,25.0833333,-77.35
Tilbury,293,51.46666667,0.333333333
Hamilton,294,32.3,-64.7833333
All Other Egypt Mediterranean Region Ports,295,31.20458,29.880066
Gentil,296,-0.716667,8.783333
Christiansted,297,17.75,-64.7
Victoria PEI,298,46.2166667,-63.4833333
Imbituba,299,-28.2333333,-48.6833333
All Other Malta Ports,300,35.818,14.54
Rouseau,301,15.30139,-61.38833
Swatow,302,23.35,116.666667
Kingstown,303,13.15,-61.2333333
Fort De France,304,14.6,-61.0666667
All Other Sicily Ports,305,37.5,15.090278
Mucuripe,306,-3.7,-38.4833333
Macau,307,22.196389,113.710556
Basseterre,308,17.3,-62.7166667
Malaga,309,36.7166667,-4.4166667
Brisbane,310,-27.4666667,153.0333333
Lisboa,311,38.7,-9.1666667
Lome,312,6.131944,1.222778
Grangemouth,313,56.0166667,-3.7166667
Thamesport,314,51.4333333,0.7
Szczecin,315,53.4,14.5333333
Guanta,316,10.25,-64.5833333
Walvis Bay,317,-22.939,14.5247
Majuro,318,7.066667,171.266667
Matadi,319,-5.816667,13.483333
Latakia,320,35.513333,35.770556
Vigo,321,42.2333333,-8.7166667
Tomakomai Ko,322,42.6333333,141.6333333
La Guaira,323,10.6166667,-66.9333333
Kowloon,324,22.341389,114.124722
Pago Pago Harbor,325,-14.2833333,-170.6666667
Maracaibo,326,10.6333333,-71.6
Aguirre,327,-18.985681,-57.707791
Gustavia,328,17.5352,-62.51
Fremantle,329,-32.05,115.75
Castries,330,14.0166667,-61
Parham Harbour,331,17.15,-61.7666667
Trieste,332,45.65,13.7666667
Bell,333,0.288889,32.653611
Yuzhnyy,334,46.6,31.0166667
Pointe A Pitre,335,16.2333333,-61.5333333
Le Port,336,-20.5622,55.1714
Blowing Point,337,18.170565,-63.093065
Nukualofa,338,21.133056,175.199722
All Other Bahamas Ports,339,24.574,-75.952
Cotonou,340,6.366667,2.433333
Freetown,341,8.484444,-13.234444
Emden,342,53.3333333,7.1833333
Benghazi,343,32.109167,20.0475
All Other Oman Ports,344,16.948056,54.008889
Bamako,345,12.65,-8
Degrad des Cannes,346,4.8546,-52.2745
Muara,347,5.033333,115.066667
Kolkata,348,22.55628,88.30498
Fang-Cheng,349,21.75,108.35
Papeete,350,-17.5333333,-149.5833333
Novo,351,17.019,-25.064
Vieux Fort,352,13.7166667,-60.9666667
Nouakchott,353,18.1,-15.95
Banjul,354,13.453056,-16.5775
Agadir,355,30.43333333,-9.633333333
St George,356,32.3833333,-64.6833333
Kota Kinabalu,357,5.9833333,116.0666667
Montserrat,358,16.70456,-62.222095
Aden,359,12.8,45.033333
Charlestown,360,17.1333333,-62.6333333
Itaqui,361,-2.5833333,-44.3666667
Kharg Island,362,29.235481,50.31
Mizushima,363,34.5,133.7333333
Malakal Island,364,134.45,7.330278
King Fahd,365,23.95,38.2166667
Yap,366,9.51,138.16
Oita Ko,367,33.25,131.5833333
Abaco-Snake Cay,368,26.466667,-77.083333
N'Djamena,369,12.113056,15.049167
Male,370,4.172,73.509
St Helena,371,-15.933333,-5.716667
Mogadishu,372,2.033333,45.35
Ensenada,373,31.8666667,-116.6333333
Gaborone,374,-24.658056,25.912222
Bimini Island,375,25.733333,-79.25
Ouagadougou,376,12.357222,-1.535278
Port Rhoades,377,18.46398,-77.40756
Exuma,378,23.533333,-75.833333
Ulaanbaatar,379,47.92,106.92
Moroni,380,-11.699,43.256
Road Harbor,381,18.4166667,-64.6166667
Nampo,382,38.7523,125.3247
Pulau Bukom,383,1.2333333,103.7666667
Victoria (Seychelles),384,-4.616667,55.45
Apia,385,-13.8166667,-171.7666667
Clarence Town,386,23.101185,-74.961235
Puerto Bolivar,387,12.25,-71.9666667
Nuuk,388,64.170833,-51.720833
Canary Island,389,28.1,-15.4
Greatstirrup Cay,390,25.833333,-77.9
Cat Cays,391,25.416667,-77.816667
Andros Island,392,24.433333,-77.95
